,NumberOfFatomsOnSameCarbon,NMR_Peak,SMILES,Compound name,Sovelnt_used_for_NMR
8_COOH_4,2,-122.87,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorohexanoic acid,CDCl3
10_COOH_4,2,-123.25,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorohexanoic acid,CDCl3
11_COOH_4,2,-123.25,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorohexanoic acid,CDCl3
13_COOH_4,2,-126.44,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorohexanoic acid,CDCl3
14_COOH_4,2,-126.44,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorohexanoic acid,CDCl3
16_COOH_4,3,-81.06,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorohexanoic acid,CDCl3
17_COOH_4,3,-81.06,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorohexanoic acid,CDCl3
18_COOH_4,3,-81.06,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorohexanoic acid,CDCl3
4_COOH_5,2,-119.14,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoroheptanoic acid,CDCl3
5_COOH_5,2,-119.14,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoroheptanoic acid,CDCl3
7_COOH_5,2,-122.01,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoroheptanoic acid,CDCl3
8_COOH_5,2,-122.01,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoroheptanoic acid,CDCl3
10_COOH_5,2,-122.99,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoroheptanoic acid,CDCl3
11_COOH_5,2,-122.99,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoroheptanoic acid,CDCl3
13_COOH_5,2,-122.99,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoroheptanoic acid,CDCl3
14_COOH_5,2,-122.99,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoroheptanoic acid,CDCl3
16_COOH_5,2,-126.29,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoroheptanoic acid,CDCl3
17_COOH_5,2,-126.29,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoroheptanoic acid,CDCl3
19_COOH_5,3,-80.96,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoroheptanoic acid,CDCl3
20_COOH_5,3,-80.96,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoroheptanoic acid,CDCl3
21_COOH_5,3,-80.96,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoroheptanoic acid,CDCl3
4_COOH_6,2,-119.16,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctanoic acid,CDCl3
5_COOH_6,2,-119.16,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctanoic acid,CDCl3
7_COOH_6,2,-121.84,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctanoic acid,CDCl3
8_COOH_6,2,-121.84,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctanoic acid,CDCl3
10_COOH_6,2,-122.19,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctanoic acid,CDCl3
11_COOH_6,2,-122.19,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctanoic acid,CDCl3
13_COOH_6,2,-122.88,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctanoic acid,CDCl3
14_COOH_6,2,-122.88,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctanoic acid,CDCl3
16_COOH_6,2,-123,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctanoic acid,CDCl3
17_COOH_6,2,-123,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctanoic acid,CDCl3
19_COOH_6,2,-126.27,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctanoic acid,CDCl3
20_COOH_6,2,-126.27,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctanoic acid,CDCl3
22_COOH_6,3,-80.95,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctanoic acid,CDCl3
23_COOH_6,3,-80.95,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctanoic acid,CDCl3
24_COOH_6,3,-80.95,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctanoic acid,CDCl3
4_COOH_7,2,-119.15,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononanoic acid,CDCl3
5_COOH_7,2,-119.15,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononanoic acid,CDCl3
7_COOH_7,2,-121.81,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononanoic acid,CDCl3
8_COOH_7,2,-121.81,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononanoic acid,CDCl3
10_COOH_7,2,-122.04,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononanoic acid,CDCl3
11_COOH_7,2,-122.04,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononanoic acid,CDCl3
13_COOH_7,2,-122.04,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononanoic acid,CDCl3
14_COOH_7,2,-122.04,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononanoic acid,CDCl3
16_COOH_7,2,-122.85,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononanoic acid,CDCl3
17_COOH_7,2,-122.85,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononanoic acid,CDCl3
19_COOH_7,2,-122.98,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononanoic acid,CDCl3
20_COOH_7,2,-122.98,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononanoic acid,CDCl3
22_COOH_7,2,-126.26,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononanoic acid,CDCl3
23_COOH_7,2,-126.26,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononanoic acid,CDCl3
25_COOH_7,3,-80.95,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononanoic acid,CDCl3
26_COOH_7,3,-80.95,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononanoic acid,CDCl3
27_COOH_7,3,-80.95,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononanoic acid,CDCl3
4_COOH_8,2,-119.17,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorododecanoic acid,CD3OD
5_COOH_8,2,-119.17,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorododecanoic acid,CD3OD
7_COOH_8,2,-121.89,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorododecanoic acid,CD3OD
8_COOH_8,2,-121.89,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorododecanoic acid,CD3OD
10_COOH_8,2,-121.89,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorododecanoic acid,CD3OD
11_COOH_8,2,-121.89,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorododecanoic acid,CD3OD
13_COOH_8,2,-121.89,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorododecanoic acid,CD3OD
14_COOH_8,2,-121.89,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorododecanoic acid,CD3OD
16_COOH_8,2,-121.89,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorododecanoic acid,CD3OD
17_COOH_8,2,-121.89,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorododecanoic acid,CD3OD
19_COOH_8,2,-121.89,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorododecanoic acid,CD3OD
20_COOH_8,2,-121.89,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorododecanoic acid,CD3OD
22_COOH_8,2,-122.83,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorododecanoic acid,CD3OD
23_COOH_8,2,-122.83,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorododecanoic acid,CD3OD
25_COOH_8,2,-122.83,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorododecanoic acid,CD3OD
26_COOH_8,2,-122.83,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorododecanoic acid,CD3OD
28_COOH_8,2,-122.99,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorododecanoic acid,CD3OD
29_COOH_8,2,-122.99,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorododecanoic acid,CD3OD
31_COOH_8,2,-126.26,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorododecanoic acid,CD3OD
32_COOH_8,2,-126.26,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorododecanoic acid,CD3OD
34_COOH_8,3,-80.97,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorododecanoic acid,CD3OD
35_COOH_8,3,-80.97,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorododecanoic acid,CD3OD
36_COOH_8,3,-80.97,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorododecanoic acid,CD3OD
4_COOH_9,2,-119.15,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorotetradecanoic acid,CD3OD
5_COOH_9,2,-119.15,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorotetradecanoic acid,CD3OD
7_COOH_9,2,-121.74,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorotetradecanoic acid,CD3OD
8_COOH_9,2,-121.74,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorotetradecanoic acid,CD3OD
10_COOH_9,2,-121.74,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorotetradecanoic acid,CD3OD
11_COOH_9,2,-121.74,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorotetradecanoic acid,CD3OD
13_COOH_9,2,-121.74,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorotetradecanoic acid,CD3OD
14_COOH_9,2,-121.74,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorotetradecanoic acid,CD3OD
16_COOH_9,2,-121.74,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorotetradecanoic acid,CD3OD
17_COOH_9,2,-121.74,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorotetradecanoic acid,CD3OD
19_COOH_9,2,-121.74,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorotetradecanoic acid,CD3OD
20_COOH_9,2,-121.74,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorotetradecanoic acid,CD3OD
22_COOH_9,2,-121.74,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorotetradecanoic acid,CD3OD
23_COOH_9,2,-121.74,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorotetradecanoic acid,CD3OD
25_COOH_9,2,-121.74,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorotetradecanoic acid,CD3OD
26_COOH_9,2,-121.74,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorotetradecanoic acid,CD3OD
28_COOH_9,2,-121.74,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorotetradecanoic acid,CD3OD
29_COOH_9,2,-121.74,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorotetradecanoic acid,CD3OD
31_COOH_9,2,-122.81,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorotetradecanoic acid,CD3OD
32_COOH_9,2,-122.81,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorotetradecanoic acid,CD3OD
34_COOH_9,2,-122.98,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorotetradecanoic acid,CD3OD
35_COOH_9,2,-122.98,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorotetradecanoic acid,CD3OD
37_COOH_9,2,-126.22,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorotetradecanoic acid,CD3OD
38_COOH_9,2,-126.22,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorotetradecanoic acid,CD3OD
40_COOH_9,3,-80.93,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorotetradecanoic acid,CD3OD
41_COOH_9,3,-80.93,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorotetradecanoic acid,CD3OD
42_COOH_9,3,-80.93,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorotetradecanoic acid,CD3OD
4_COOH_10,2,-119.44,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,Octafluoroadipic acid,CD3OD
5_COOH_10,2,-119.44,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,Octafluoroadipic acid,CD3OD
7_COOH_10,2,-123.04,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,Octafluoroadipic acid,CD3OD
8_COOH_10,2,-123.04,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,Octafluoroadipic acid,CD3OD
10_COOH_10,2,-123.04,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,Octafluoroadipic acid,CD3OD
11_COOH_10,2,-123.04,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,Octafluoroadipic acid,CD3OD
13_COOH_10,2,-119.44,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,Octafluoroadipic acid,CD3OD
14_COOH_10,2,-119.44,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,Octafluoroadipic acid,CD3OD
4_COOH_11,2,-119.24,C(=O)(C(C(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,"2,2,3,3,4,4,5,5,6,6,7,7-dodecafluorooctanedioic Acid",CD3OD
5_COOH_11,2,-119.24,C(=O)(C(C(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,"2,2,3,3,4,4,5,5,6,6,7,7-dodecafluorooctanedioic Acid",CD3OD
7_COOH_11,2,-121.93,C(=O)(C(C(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,"2,2,3,3,4,4,5,5,6,6,7,7-dodecafluorooctanedioic Acid",CD3OD
8_COOH_11,2,-121.93,C(=O)(C(C(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,"2,2,3,3,4,4,5,5,6,6,7,7-dodecafluorooctanedioic Acid",CD3OD
10_COOH_11,2,-123.11,C(=O)(C(C(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,"2,2,3,3,4,4,5,5,6,6,7,7-dodecafluorooctanedioic Acid",CD3OD
11_COOH_11,2,-123.11,C(=O)(C(C(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,"2,2,3,3,4,4,5,5,6,6,7,7-dodecafluorooctanedioic Acid",CD3OD
