atomCode_fluorinated_compoundsCode,actual,prediction,diff
4_From_Review_242,-83.0,-81.56904,1.4309616088867188
5_From_Review_242,-83.0,-81.84773,1.1522674560546875
0_From_Review_13,-70.0,-69.64387,0.35613250732421875
2_From_Review_13,-70.0,-68.53591,1.4640884399414062
0_From_Review_461,-140.0,-136.10844,3.8915557861328125
7_From_Review_461,-87.0,-83.45691,3.5430908203125
5_other_12,-115.11,-113.71136,1.3986428833007807
6_other_12,-115.11,-111.5998,3.510199890136718
8_other_12,-121.33,-118.84913,2.480871276855467
9_other_12,-121.33,-120.61856,0.7114392089843733
11_other_12,-122.7,-122.25005,0.4499465942382841
12_other_12,-122.7,-122.48609,0.2139083862304716
14_other_12,-122.91,-122.48609,0.42390838623046534
15_other_12,-122.91,-122.21728,0.6927224731445278
17_other_12,-123.7,-122.290955,1.4090454101562528
18_other_12,-123.7,-122.48609,1.2139083862304716
20_other_12,-123.7,-122.5586,1.1413986206054716
21_other_12,-123.7,-122.97028,0.7297164916992216
23_other_12,-127.29,-126.5748,0.7152014160156313
24_other_12,-127.29,-126.25625,1.0337515258789125
26_other_12,-82.37,-81.24097,1.1290332031250045
27_other_12,-82.37,-81.93822,0.43178283691406705
28_other_12,-82.37,-81.353645,1.0163546752929733
3_From_Review_62,-227.0,-225.39236,1.607635498046875
14_From_Review_118,-137.0,-126.14526,10.854736328125
0_From_Review_442,-117.0,-113.37775,3.62225341796875
2_From_Review_442,-97.0,-99.435036,2.4350357055664062
4_From_Review_442,-145.0,-145.08673,0.08673095703125
4_COOH_22,-119.17,-116.617134,2.5528659057617205
5_COOH_22,-119.17,-119.87424,0.7042370605468733
7_COOH_22,-121.82,-122.53253,0.7125317382812568
8_COOH_22,-121.82,-122.53253,0.7125317382812568
10_COOH_22,-122.1,-122.45465,0.3546508789062557
11_COOH_22,-122.1,-122.45465,0.3546508789062557
13_COOH_22,-122.1,-122.257256,0.15725555419922443
14_COOH_22,-122.1,-122.45465,0.3546508789062557
16_COOH_22,-123.0,-122.56397,0.43602752685546875
17_COOH_22,-123.0,-122.56397,0.43602752685546875
19_COOH_22,-123.48,-122.75837,0.7216305541992227
20_COOH_22,-123.48,-122.75837,0.7216305541992227
22_COOH_22,-129.49,-125.84862,3.6413824462890716
23_COOH_22,-129.49,-125.84862,3.6413824462890716
25_COOH_22,-137.3,-132.95186,4.348141479492199
26_COOH_22,-137.3,-132.95186,4.348141479492199
3_From_Review_168,-141.0,-142.90202,1.9020233154296875
5_From_Review_168,-104.0,-106.10895,2.10894775390625
4_From_Review_366,-64.0,-66.259674,2.259674072265625
5_From_Review_366,-64.0,-66.259674,2.259674072265625
6_From_Review_366,-64.0,-65.89902,1.899017333984375
3_From_Review_82,-144.0,-145.04144,1.04144287109375
6_From_Review_81,-137.0,-135.543,1.457000732421875
3_olefins_2,-114.06,-114.27042,0.21041625976562273
4_olefins_2,-114.06,-115.58308,1.523076477050779
6_olefins_2,-121.58,-122.049416,0.46941558837890796
7_olefins_2,-121.58,-122.049416,0.46941558837890796
9_olefins_2,-122.08,-122.48609,0.40609161376953296
10_olefins_2,-122.08,-122.48609,0.40609161376953296
12_olefins_2,-122.08,-122.34502,0.2650164794921892
13_olefins_2,-122.08,-122.19373,0.11373321533203296
15_olefins_2,-122.87,-122.56397,0.3060275268554733
16_olefins_2,-122.87,-122.56397,0.3060275268554733
18_olefins_2,-123.77,-123.3026,0.4674029541015585
19_olefins_2,-123.77,-123.27653,0.49347259521483977
21_olefins_2,-126.33,-126.667625,0.33762542724609546
22_olefins_2,-126.33,-125.14802,1.181982116699217
24_olefins_2,-81.11,-81.24097,0.13096679687500057
25_olefins_2,-81.11,-81.24097,0.13096679687500057
26_olefins_2,-81.11,-81.24097,0.13096679687500057
10_From_Review_45,-152.0,-147.39594,4.60406494140625
5_From_Review_77,-190.0,-192.39322,2.393218994140625
0_From_Review_17,-169.0,-172.99718,3.9971771240234375
4_From_Review_187,-216.0,-208.95355,7.04644775390625
0_From_Review_144,-125.0,-123.72568,1.274322509765625
7_From_Review_335,-76.0,-78.111,2.1110000610351562
8_From_Review_335,-76.0,-77.570595,1.5705947875976562
9_From_Review_335,-76.0,-78.111,2.1110000610351562
0_aromatics_13,-135.16,-133.86395,1.2960473632812466
6_aromatics_13,-135.16,-135.14702,0.01298156738280909
8_aromatics_13,-161.56,-160.34814,1.2118554687500023
0_From_Review_30,-213.0,-192.3786,20.62139892578125
3_From_Review_183,-216.0,-215.19315,0.806854248046875
5_SO3H_7,-114.49,-112.48578,2.004221191406245
6_SO3H_7,-114.49,-114.51763,0.027631530761723866
8_SO3H_7,-120.59,-121.08554,0.4955407714843716
9_SO3H_7,-120.59,-120.014565,0.5754354858398472
11_SO3H_7,-121.64,-122.147194,0.5071939086914057
12_SO3H_7,-121.64,-122.45465,0.8146508789062494
14_SO3H_7,-121.64,-122.45465,0.8146508789062494
15_SO3H_7,-121.64,-122.09087,0.4508737182617182
17_SO3H_7,-121.64,-122.48609,0.8460916137695307
18_SO3H_7,-121.64,-122.122314,0.48231445312499943
20_SO3H_7,-121.64,-122.45465,0.8146508789062494
21_SO3H_7,-121.64,-122.21861,0.5786126708984369
23_SO3H_7,-121.64,-122.45465,0.8146508789062494
24_SO3H_7,-121.64,-122.45465,0.8146508789062494
26_SO3H_7,-122.59,-123.16468,0.5746804809570278
27_SO3H_7,-122.59,-122.753,0.16299835205077784
29_SO3H_7,-125.99,-126.25625,0.26624847412109887
30_SO3H_7,-125.99,-125.47342,0.5165808105468699
32_SO3H_7,-80.63,-81.24097,0.6109667968750045
33_SO3H_7,-80.63,-81.24097,0.6109667968750045
34_SO3H_7,-80.63,-81.24097,0.6109667968750045
5_From_Review_225,-99.2,-103.89103,4.691029357910153
6_From_Review_225,-99.2,-103.50358,4.303578186035153
0_From_Review_148,-131.0,-130.5273,0.4727020263671875
0_From_Review_281,-65.6,-64.34514,1.2548614501953068
2_From_Review_281,-65.6,-64.705795,0.8942047119140568
3_From_Review_281,-65.6,-64.705795,0.8942047119140568
6_From_Review_106,-191.0,-188.889,2.110992431640625
6_From_Review_358,-65.0,-62.665524,2.3344764709472656
7_From_Review_358,-65.0,-62.665524,2.3344764709472656
8_From_Review_358,-65.0,-62.665524,2.3344764709472656
0_From_Review_374,-60.3,-60.286312,0.013687896728512783
2_From_Review_374,-60.3,-60.190952,0.10904769897460653
3_From_Review_374,-60.3,-60.403805,0.10380477905273722
8_From_Review_374,-60.3,-60.403805,0.10380477905273722
9_From_Review_374,-60.3,-60.286312,0.013687896728512783
10_From_Review_374,-60.3,-60.190952,0.10904769897460653
13_From_Review_374,-60.3,-60.403805,0.10380477905273722
14_From_Review_374,-60.3,-60.286312,0.013687896728512783
15_From_Review_374,-60.3,-60.190952,0.10904769897460653
19_From_Review_374,-60.3,-60.403805,0.10380477905273722
20_From_Review_374,-60.3,-60.286312,0.013687896728512783
21_From_Review_374,-60.3,-60.190952,0.10904769897460653
7_From_Review_135,-123.0,-121.20385,1.7961502075195312
0_From_Review_452,-138.0,-134.51236,3.487640380859375
4_From_Review_452,-138.0,-134.49373,3.5062713623046875
6_From_Review_452,-133.0,-134.4027,1.4026947021484375
10_From_Review_452,-133.0,-134.46759,1.46759033203125
0_From_Review_14,-73.0,-72.603645,0.39635467529296875
2_From_Review_14,-73.0,-72.603645,0.39635467529296875
0_From_Review_42,-223.0,-224.23697,1.236968994140625
3_From_Review_42,-183.0,-184.18727,1.1872711181640625
5_SO3H_19,-115.74,-108.677704,7.06229614257812
6_SO3H_19,-115.74,-106.18923,9.550768127441401
8_SO3H_19,-121.94,-122.7476,0.8075967407226585
9_SO3H_19,-121.94,-123.056114,1.116114196777346
11_SO3H_19,-123.7,-122.53019,1.1698104858398466
12_SO3H_19,-123.7,-122.53019,1.1698104858398466
14_SO3H_19,-127.39,-125.00428,2.3857199096679693
15_SO3H_19,-127.39,-125.00428,2.3857199096679693
17_SO3H_19,-82.49,-84.56581,2.0758111572265676
18_SO3H_19,-82.49,-84.412,1.9220025634765676
19_SO3H_19,-82.49,-84.29492,1.8049218750000051
5_From_Review_307,-64.8,-68.437256,3.637255859375003
6_From_Review_307,-64.8,-67.350296,2.5502960205078153
7_From_Review_307,-64.8,-67.34685,2.5468475341796903
4_Cl_3,-118.51,-121.81103,3.3010275268554636
5_Cl_3,-118.51,-121.559395,3.049394836425776
7_Cl_3,-121.81,-122.45465,0.6446508789062477
8_Cl_3,-121.81,-122.45465,0.6446508789062477
10_Cl_3,-121.81,-122.48609,0.676091613769529
11_Cl_3,-121.81,-122.25005,0.4400534057617165
13_Cl_3,-121.81,-122.48609,0.676091613769529
14_Cl_3,-121.81,-122.2887,0.4786962890624977
16_Cl_3,-122.75,-122.56397,0.18602752685546875
17_Cl_3,-122.75,-122.56397,0.18602752685546875
19_Cl_3,-122.75,-122.41301,0.3369903564453125
20_Cl_3,-122.75,-122.753,0.00299835205078125
22_Cl_3,-126.24,-125.884796,0.3552038574218699
23_Cl_3,-126.24,-125.884796,0.3552038574218699
25_Cl_3,-81.04,-81.24097,0.20096679687499375
26_Cl_3,-81.04,-81.24097,0.20096679687499375
27_Cl_3,-81.04,-81.24097,0.20096679687499375
5_From_Review_308,-67.4,-67.116936,0.28306427001953693
6_From_Review_308,-67.4,-67.116936,0.28306427001953693
7_From_Review_308,-67.4,-68.37144,0.9714370727539006
0_From_Review_123,-125.0,-110.45534,14.544662475585938
0_From_Review_468,-129.0,-124.83956,4.160438537597656
5_From_Review_468,-91.0,-85.77096,5.229042053222656
7_From_Review_468,-136.0,-139.85728,3.8572845458984375
2_From_Review_218,-95.0,-98.92757,3.9275665283203125
3_From_Review_218,-95.0,-98.92757,3.9275665283203125
5_From_Review_392,-123.1,-118.31716,4.782838439941401
6_From_Review_392,-123.1,-118.73134,4.368661499023432
8_From_Review_392,-206.0,-204.00595,1.994049072265625
10_From_Review_392,-73.0,-75.08729,2.0872879028320312
11_From_Review_392,-73.0,-75.08729,2.0872879028320312
12_From_Review_392,-73.0,-75.08729,2.0872879028320312
2_From_Review_220,-109.0,-110.03298,1.0329818725585938
3_From_Review_220,-109.0,-110.03298,1.0329818725585938
4_COOH_30,-120.16,-119.87424,0.2857629394531216
5_COOH_30,-120.16,-119.87424,0.2857629394531216
7_COOH_30,-122.69,-122.53253,0.15746826171874773
8_COOH_30,-122.69,-122.53253,0.15746826171874773
10_COOH_30,-122.69,-122.45465,0.23534912109374773
11_COOH_30,-122.69,-122.21861,0.4713873291015602
13_COOH_30,-122.69,-122.45465,0.23534912109374773
14_COOH_30,-122.69,-123.747955,1.0579553222656273
16_COOH_30,-122.69,-122.48609,0.20390838623046648
17_COOH_30,-122.69,-122.19373,0.4962667846679665
19_COOH_30,-122.69,-122.21861,0.4713873291015602
20_COOH_30,-122.69,-122.45465,0.23534912109374773
22_COOH_30,-123.7,-123.747955,0.04795532226562216
23_COOH_30,-123.7,-122.53253,1.1674682617187528
25_COOH_30,-124.05,-123.09062,0.9593780517578097
26_COOH_30,-124.05,-123.502304,0.5476959228515597
28_COOH_30,-127.27,-126.667625,0.6023745727539023
29_COOH_30,-127.27,-125.884796,1.385203857421871
31_COOH_30,-82.37,-81.24097,1.1290332031250045
32_COOH_30,-82.37,-81.24097,1.1290332031250045
33_COOH_30,-82.37,-81.24097,1.1290332031250045
0_From_Review_480,-171.0,-173.27145,2.271453857421875
5_From_Review_480,-122.0,-125.20105,3.2010498046875
7_From_Review_480,-195.0,-192.32997,2.6700286865234375
4_Cl_1,-119.47,-121.754776,2.2847760009765636
5_Cl_1,-119.47,-121.780846,2.310845642089845
7_Cl_1,-127.24,-126.57578,0.6642172241210886
8_Cl_1,-127.24,-126.753235,0.4867651367187449
10_Cl_1,-81.04,-81.3677,0.3276986694335875
11_Cl_1,-81.04,-81.35847,0.318467102050775
12_Cl_1,-81.04,-81.35847,0.318467102050775
7_From_Review_254,-117.0,-116.56778,0.432220458984375
8_From_Review_254,-117.0,-117.91473,0.9147262573242188
4_From_Review_320,-60.0,-65.857414,5.857414245605469
5_From_Review_320,-60.0,-65.719734,5.719734191894531
6_From_Review_320,-60.0,-66.48001,6.480010986328125
4_other_8,-111.1,-113.68372,2.583723449707037
5_other_8,-111.1,-114.227165,3.1271652221679744
7_other_8,-121.3,-122.56397,1.263972473144534
8_other_8,-121.3,-121.62799,0.32799072265625284
10_other_8,-122.27,-122.15874,0.11126281738280852
11_other_8,-122.27,-122.56397,0.29397247314453523
13_other_8,-122.27,-123.33404,1.0640377807617227
14_other_8,-122.27,-123.33404,1.0640377807617227
16_other_8,-125.45,-125.456825,0.006825256347653408
17_other_8,-125.45,-126.667625,1.217625427246091
19_other_8,-80.0,-81.24097,1.240966796875
20_other_8,-80.0,-81.24097,1.240966796875
21_other_8,-80.0,-81.24097,1.240966796875
7_other_3,-113.35,-115.269745,1.9197448730468807
8_other_3,-113.35,-115.96487,2.6148666381835994
10_other_3,-121.64,-122.438354,0.7983544921874994
11_other_3,-121.64,-122.03312,0.3931192016601557
13_other_3,-121.64,-122.438354,0.7983544921874994
14_other_3,-121.64,-122.03312,0.3931192016601557
16_other_3,-121.64,-122.438354,0.7983544921874994
17_other_3,-121.64,-122.81044,1.170440063476562
19_other_3,-121.64,-122.438354,0.7983544921874994
20_other_3,-121.64,-122.438354,0.7983544921874994
22_other_3,-121.64,-121.94599,0.3059915161132807
23_other_3,-121.64,-122.438354,0.7983544921874994
25_other_3,-122.54,-122.516235,0.023764648437506253
26_other_3,-122.54,-123.10822,0.568222961425775
28_other_3,-123.44,-122.19671,1.243291320800779
29_other_3,-123.44,-122.71063,0.7293676757812477
31_other_3,-125.93,-127.16612,1.2361224365234307
32_other_3,-125.93,-125.44651,0.48348968505860057
34_other_3,-80.56,-85.30766,4.747662963867185
35_other_3,-80.56,-84.412,3.8520025634765602
36_other_3,-80.56,-84.83836,4.278363647460935
41_other_3,-113.35,-115.269745,1.9197448730468807
42_other_3,-113.35,-115.269745,1.9197448730468807
44_other_3,-121.64,-121.341606,0.2983938598632818
45_other_3,-121.64,-122.438354,0.7983544921874994
47_other_3,-121.64,-122.03312,0.3931192016601557
48_other_3,-121.64,-122.438354,0.7983544921874994
50_other_3,-121.64,-122.00231,0.3623117065429682
51_other_3,-121.64,-122.438354,0.7983544921874994
53_other_3,-121.64,-122.00231,0.3623117065429682
54_other_3,-121.64,-122.438354,0.7983544921874994
56_other_3,-121.64,-122.438354,0.7983544921874994
57_other_3,-121.64,-122.438354,0.7983544921874994
59_other_3,-122.54,-122.516235,0.023764648437506253
60_other_3,-122.54,-122.00231,0.5376882934570375
62_other_3,-123.44,-122.68538,0.7546209716796852
63_other_3,-123.44,-122.71063,0.7293676757812477
65_other_3,-125.93,-125.41566,0.5143429565429756
66_other_3,-125.93,-125.41566,0.5143429565429756
68_other_3,-80.56,-83.0862,2.5261968994140602
69_other_3,-80.56,-82.542755,1.9827551269531227
70_other_3,-80.56,-83.0862,2.5261968994140602
0_I_1,-81.33,-81.24097,0.0890332031249983
2_I_1,-81.33,-81.35847,0.028467102050782955
3_I_1,-81.33,-81.35847,0.028467102050782955
5_I_1,-125.41,-123.272194,2.1378060913085903
6_I_1,-125.41,-123.7867,1.623302612304684
8_I_1,-114.28,-116.51365,2.233648986816405
9_I_1,-114.28,-116.532364,2.2523638916015614
11_I_1,-60.35,-61.168472,0.8184722900390611
12_I_1,-60.35,-61.33179,0.9817909240722642
0_From_Review_195,-113.0,-112.44852,0.551483154296875
0_From_Review_467,-123.0,-130.80423,7.804229736328125
6_From_Review_467,-83.0,-79.59388,3.4061203002929688
8_From_Review_467,-165.0,-162.37984,2.6201629638671875
7_From_Review_342,-65.0,-62.44927,2.550731658935547
8_From_Review_342,-65.0,-62.63746,2.3625411987304688
9_From_Review_342,-65.0,-62.63746,2.3625411987304688
4_alcohols_12,-114.72,-116.731575,2.0115750122070324
5_alcohols_12,-114.72,-115.99673,1.2767269897460949
7_alcohols_12,-122.96,-122.56397,0.3960275268554625
8_alcohols_12,-122.96,-122.56397,0.3960275268554625
10_alcohols_12,-123.95,-120.933,3.0170013427734403
11_alcohols_12,-123.95,-122.56397,1.3860275268554716
13_alcohols_12,-124.83,-123.30797,1.5220318603515608
14_alcohols_12,-124.83,-123.30797,1.5220318603515608
16_alcohols_12,-127.37,-125.32814,2.041859741210942
17_alcohols_12,-127.37,-125.884796,1.4852038574218795
19_alcohols_12,-82.47,-81.24097,1.2290332031249989
20_alcohols_12,-82.47,-81.24097,1.2290332031249989
21_alcohols_12,-82.47,-80.452354,2.017645568847655
8_aromatics_11,-63.19,-62.603832,0.5861677551269509
9_aromatics_11,-63.19,-62.603832,0.5861677551269509
10_aromatics_11,-63.19,-62.603832,0.5861677551269509
4_From_Review_310,-80.0,-78.46901,1.5309906005859375
5_From_Review_310,-80.0,-77.111115,2.888885498046875
6_From_Review_310,-80.0,-77.29773,2.7022705078125
8_From_Review_194,-214.0,-213.33006,0.6699371337890625
0_From_Review_18,-191.0,-189.75949,1.240509033203125
0_From_Review_377,-52.6,-54.185543,1.585543060302733
2_From_Review_377,-52.6,-54.53585,1.9358505249023423
3_From_Review_377,-52.6,-54.185543,1.585543060302733
7_From_Review_377,-52.6,-54.53585,1.9358505249023423
8_From_Review_377,-52.6,-54.185543,1.585543060302733
9_From_Review_377,-52.6,-54.185543,1.585543060302733
12_From_Review_377,-52.6,-54.185543,1.585543060302733
13_From_Review_377,-52.6,-54.185543,1.585543060302733
14_From_Review_377,-52.6,-54.53585,1.9358505249023423
17_From_Review_377,-52.6,-54.185543,1.585543060302733
18_From_Review_377,-52.6,-54.53585,1.9358505249023423
19_From_Review_377,-52.6,-54.185543,1.585543060302733
22_From_Review_377,-52.6,-54.185543,1.585543060302733
23_From_Review_377,-52.6,-54.185543,1.585543060302733
24_From_Review_377,-52.6,-54.53585,1.9358505249023423
27_From_Review_377,-52.6,-54.185543,1.585543060302733
28_From_Review_377,-52.6,-54.185543,1.585543060302733
29_From_Review_377,-52.6,-54.53585,1.9358505249023423
0_From_Review_258,-95.0,-95.43193,0.4319305419921875
2_From_Review_258,-90.0,-95.43193,5.4319305419921875
0_From_Review_186,-211.0,-213.48915,2.4891510009765625
5_From_Review_226,-91.0,-95.50502,4.5050201416015625
6_From_Review_226,-91.0,-97.5374,6.5373992919921875
8_From_Review_423,-127.0,-126.813774,0.18622589111328125
9_From_Review_423,-127.0,-126.785126,0.214874267578125
0_I_6,-72.2,-74.03641,1.8364074707031222
2_I_6,-72.2,-73.92425,1.724247741699216
3_I_6,-72.2,-70.591415,1.6085845947265653
5_I_6,-186.31,-187.38199,1.0719885253906227
7_I_6,-72.2,-74.03641,1.8364074707031222
8_I_6,-72.2,-71.288666,0.9113342285156278
9_I_6,-72.2,-74.6215,2.4214981079101534
11_I_6,-121.51,-119.48657,2.023427734375005
12_I_6,-121.51,-119.48657,2.023427734375005
14_I_6,-121.04,-121.17998,0.13997741699218125
15_I_6,-121.04,-122.19373,1.153733215332025
17_I_6,-120.83,-122.48609,1.656091613769533
18_I_6,-120.83,-122.48609,1.656091613769533
20_I_6,-120.83,-120.30423,0.5257702636718733
21_I_6,-120.83,-120.30423,0.5257702636718733
23_I_6,-113.25,-116.50831,3.2583084106445312
24_I_6,-113.25,-118.716194,5.466194152832031
26_I_6,-59.69,-60.11213,0.4221292114257835
27_I_6,-59.69,-62.183907,2.4939065551757835
3_From_Review_257,-98.0,-104.070915,6.070915222167969
4_From_Review_257,-98.0,-104.070915,6.070915222167969
11_From_Review_362,-64.0,-62.665207,1.3347930908203125
12_From_Review_362,-64.0,-62.81359,1.1864089965820312
13_From_Review_362,-64.0,-62.624683,1.3753166198730469
4_From_Review_73,-226.0,-225.2794,0.7205963134765625
4_From_Review_4,-116.0,-114.79356,1.2064437866210938
5_From_Review_4,-116.0,-114.79356,1.2064437866210938
7_From_Review_93,-173.0,-175.03331,2.0333099365234375
4_alcohols_3,-113.78,-116.731575,2.95157501220703
5_alcohols_3,-113.78,-115.99673,2.2167269897460926
7_alcohols_3,-122.1,-122.56397,0.46397247314453693
8_alcohols_3,-122.1,-122.56397,0.46397247314453693
10_alcohols_3,-123.06,-120.933,2.1270013427734398
11_alcohols_3,-123.06,-122.56397,0.496027526855471
13_alcohols_3,-123.92,-123.30797,0.6120318603515642
14_alcohols_3,-123.92,-123.30797,0.6120318603515642
16_alcohols_3,-126.34,-125.32814,1.011859741210941
17_alcohols_3,-126.34,-125.884796,0.4552038574218784
19_alcohols_3,-81.07,-81.24097,0.17096679687500682
20_alcohols_3,-81.07,-81.24097,0.17096679687500682
21_alcohols_3,-81.07,-80.452354,0.6176455688476494
2_From_Review_43,-126.0,-126.645134,0.6451339721679688
4_From_Review_43,-83.0,-82.63908,0.36092376708984375
5_From_Review_43,-83.0,-82.973625,0.02637481689453125
6_From_Review_43,-83.0,-82.973625,0.02637481689453125
8_From_Review_43,-83.0,-82.973625,0.02637481689453125
9_From_Review_43,-83.0,-82.63908,0.36092376708984375
10_From_Review_43,-83.0,-82.973625,0.02637481689453125
8_acrylates_3,-113.71,-115.15792,1.44792083740235
9_acrylates_3,-113.71,-115.15792,1.44792083740235
11_acrylates_3,-121.76,-121.58935,0.17065216064453637
12_acrylates_3,-121.76,-122.08086,0.3208563232421824
14_acrylates_3,-122.01,-122.08086,0.07085632324218238
15_acrylates_3,-122.01,-122.08086,0.07085632324218238
17_acrylates_3,-122.01,-122.48609,0.47609161376952613
18_acrylates_3,-122.01,-122.2887,0.2786962890624949
20_acrylates_3,-122.82,-122.290955,0.5290454101562432
21_acrylates_3,-122.82,-122.25005,0.5699465942382744
23_acrylates_3,-123.65,-122.75837,0.8916305541992244
24_acrylates_3,-123.65,-122.75837,0.8916305541992244
26_acrylates_3,-126.24,-125.14802,1.0919821166992136
27_acrylates_3,-126.24,-126.667625,0.42762542724609887
29_acrylates_3,-80.96,-81.353645,0.3936453247070375
30_acrylates_3,-80.96,-81.24097,0.28096679687500625
31_acrylates_3,-80.96,-81.24097,0.28096679687500625
0_From_Review_414,-81.0,-81.24097,0.240966796875
2_From_Review_414,-81.0,-81.35847,0.35846710205078125
3_From_Review_414,-81.0,-81.35847,0.35846710205078125
5_From_Review_414,-126.0,-123.272194,2.7278060913085938
6_From_Review_414,-126.0,-123.7867,2.2133026123046875
8_From_Review_414,-114.0,-116.51365,2.5136489868164062
9_From_Review_414,-114.0,-116.532364,2.5323638916015625
11_From_Review_414,-60.0,-61.168472,1.1684722900390625
12_From_Review_414,-60.0,-61.33179,1.3317909240722656
2_From_Review_261,-81.0,-78.97974,2.020263671875
3_From_Review_261,-81.0,-78.97974,2.020263671875
3_From_Review_31,-156.0,-151.69998,4.300018310546875
9_From_Review_55,-154.0,-148.41069,5.5893096923828125
5_From_Review_248,-127.3,-124.791695,2.508305358886716
6_From_Review_248,-127.3,-126.48853,0.8114669799804659
0_From_Review_161,-136.0,-137.77434,1.7743377685546875
